Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
387 Grand St #K707,,1 ba,Coop,10002,2 bd,"40.71588,-73.98711",NA
25 Columbus Cir #54A,"$23,500,000",NA,NA,10019,NA,"40.76889,-73.983406",NA
29 W 119th St,"$400,000",NA,NA,10026,NA,"40.803226,-73.94595",NA
325 E 80th St #1D,"$455,000",NA,NA,10021,NA,"40.7736,-73.9531",NA
270 Convent Ave #1A,"$180,000",NA,NA,10031,NA,"40.82203,-73.94849",NA
444 E 52nd St #1F,"$1,100,000",NA,NA,10022,NA,"40.754143,-73.9635",NA
50 Nations Plz #DPH4243,"$70,000,000",NA,NA,10017,NA,"40.7516,-73.9681",NA
309 E Houston St #3C,"$700,000",NA,NA,10002,NA,"40.721046,-73.98352",NA
217 W 14th St #2F,,NA,NA,10011,NA,"40.739117,-74.00043",NA
27 W 82nd St #3B,"$575,000",NA,NA,10024,NA,"40.78347,-73.97243",NA
100 W 57th St #10-G,"$1,250,000",NA,NA,10019,NA,"40.76412,-73.97781",NA
60 Sutton Pl S #6DS,"$1,795,000",2 ba,Coop,10022,2 bd,"40.75535,-73.96285",NA
505 E 79th St #19D,"$925,000",1 ba,Coop,10075,2 bd,"40.771282,-73.94945",NA
211 Thompson St #6B,"$725,000",NA,NA,10012,NA,"40.72894,-73.99956",NA
49 W 12th St #5E,"$1,250,000",NA,NA,10011,NA,"40.735687,-73.996414",NA
205 W 57th St #2CC,"$585,000",1 ba,Coop,10019,1 bd,"40.76595,-73.98029",NA
250 Mercer St #B1205,"$640,000",NA,NA,10012,NA,"40.728325,-73.995255",NA
340 E 80th St #21-H,"$705,000",NA,NA,10075,NA,"40.77342,-73.9535",NA
Address Not Disclosed,"$450,000",NA,NA,10016,NA,"40.746086,-73.9805",NA
Address Not Disclosed,"$379,500",NA,NA,10016,NA,"40.746708,-73.97696",NA
175 W 73rd St #14G,"$679,000",NA,NA,10023,NA,"40.77933,-73.98065",NA
176 W 87th St #3E,"$987,000",NA,NA,10024,NA,"40.787926,-73.97386",NA
27 E 65th St #4F,"$2,200,000",2 ba,Coop,10065,3 bd,"40.76741,-73.96824",NA
129 E 82nd St #10C,"$2,495,000",3 ba,Coop,10028,2 bd,"40.777187,-73.957535",NA
Address Not Disclosed,"$490,000",NA,NA,10065,NA,"40.76203,-73.95936",NA
Address Not Disclosed,"$450,000",NA,NA,10075,NA,"40.77208,-73.95131",NA
Address Not Disclosed,"$490,000",NA,NA,10017,NA,"40.75189,-73.96957",NA
