HOA,Housing_area,Crime_level,Address,Housing_type,Beds,Postal_code,Built_year,Baths,Housing_price
"$3,714","2,713 sqft",NA,245 W 14th St #- APT TOWER 3,Condo,3 Bedroom,10011,Built in 2015,,"$2,930/sqft"
NA,"1,800 sqft",Low,240 W 23rd St #PHOUSE7D,Coop,3 Bedroom,10011,NA,2 full Bathroom,"$1,472/sqft"
"$1,660","1,461 sqft",Lowest,212 Warren St #27A,Condo,2 Bedroom,10282,Built in 2000,,"$1,916/sqft"
"$2,227","2,957 sqft",Lowest,133 Mulberry St #2B,Condo,3 Bedroom,10013,Built in 1893,,"$1,285/sqft"
NA,"1,218 sqft",NA,105 Norfolk St,Condo,2 Bedroom,10002,Built in 2007,2 full Bathroom,"$1,474/sqft"
"$1,837",NA,Low,425 E 86th St #16D,Coop,2 Bedroom,10028,Built in 1929,2 full Bathroom,NA
NA,NA,NA,145 Bleecker St,Townhome,6 Bedroom,10012,Built in 1900,6 full Bathroom,NA
"$6,976","3,508 sqft",Lowest,160 W 12th St #PH3,Condo,3 Bedroom,10011,Built in 2014,,"$4,974/sqft"
$368,493 sqft,Lowest,100 W 93rd St #2D,Condo,NA,10025,Built in 1973,1 full Bathroom,"$1,511/sqft"
NA,700 sqft,Lowest,266 E Broadway #B705,Coop,1 Bedroom,10002,Built in 1962,1 full Bathroom,
NA,750 sqft,Low,235 E 57th St #5D,Coop,1 Bedroom,10022,NA,1 full Bathroom,
"$1,636",NA,Lowest,345 W 70th St #1F,Coop,3 Bedroom,10023,Built in 1905,1 full Bathroom,NA
"$7,418","3,582 sqft",Lowest,25 Columbus Cir #60AG,Condo,5 Bedroom,10019,Built in 2003,,"$6,002/sqft"
$850,"1,187 sqft",Lowest,736 W 187th St #609,Condo,3 Bedroom,10033,Built in 2004,2 full Bathroom,
"$2,196",NA,Lowest,65 Nassau St #9B,Coop,2 Bedroom,10038,Built in 1898,,NA
"$3,643","3,289 sqft",Lowest,737 Park Ave #9,Condo,3 Bedroom,10021,Built in 1940,,"$3,647/sqft"
"$2,321","2,557 sqft",Lowest,845 W End Ave #4A,Condo,4 Bedroom,10025,Built in 1926,,"$1,779/sqft"
NA,"1,644 sqft",Lowest,61 E 93rd St,Townhome,5 Bedroom,10128,Built in 1901,4 full Bathroom,NA
NA,NA,Lowest,340 Haven Ave #3N,Coop,1 Bedroom,10033,NA,1 full Bathroom,NA
$526,NA,NA,571 Academy St #PH5H,Condo,2 Bedroom,10034,NA,1 full Bathroom,NA
NA,"1,199 sqft",Lowest,327 Central Park W,Condo,2 Bedroom,10025,Built in 1928,2 full Bathroom,"$1,497/sqft"
$881,NA,Lowest,2 King St #1C,Coop,1 Bedroom,10012,Built in 1963,1 full Bathroom,NA
$807,855 sqft,Lowest,39 E 29th St #12B,Condo,1 Bedroom,10016,Built in 2007,1 full Bathroom,"$1,930/sqft"
"$1,785","1,578 sqft",NA,420 W 25th St #2G,Condo,2 Bedroom,10001,Built in 1912,2 full Bathroom,"$1,584/sqft"
NA,565 sqft,Lowest,301 E 75th St #7G,Coop,1 Bedroom,10021,NA,1 full Bathroom,
$373,NA,Moderate,311 E 3rd St #24,Coop,2 Bedroom,10009,Built in 1930,1 full Bathroom,NA
"$1,500","3,531 sqft",Lowest,35 W 23rd St #2,Condo,4 Bedroom,10010,Built in 1906,,"$1,671/sqft"
"$2,846","2,219 sqft",Moderate,11 W 30th St #6R,Coop,2 Bedroom,10001,NA,1 full Bathroom,
"$1,777","1,736 sqft",Low,340 E 23rd St #SH1C,Condo,3 Bedroom,10010,NA,,"$1,836/sqft"
"$1,178",NA,Lowest,162 E 91st St #4B,Coop,1 Bedroom,10128,Built in 1940,1 full Bathroom,NA
NA,"2,810 sqft900 sqft",Lowest,399 Manhattan Ave,Townhome,4 Bedroom,10026,Built in 1899,,"$1,066/sqft"
